[WARN ] 2021-04-05 10:58:32,345 com.rds.utils.Api - Failed to parse the following json while querying account holdings: {"code":-1021,"msg":"Timestamp for this request is outside of the recvWindow."}
[WARN ] 2021-04-05 10:58:32,345 com.rds.Runner - Failed to get initial BTC holdings
[INFO ] 2021-04-05 10:58:32,429 com.rds.algorithms.Algorithm - New average value: 0.03553970000000001
[INFO ] 2021-04-05 10:58:32,429 com.rds.algorithms.Algorithm - RSI: 16.755273537984408. MACD: 2.560591613951317E-4. Average: 0.03560306041666667
[INFO ] 2021-04-05 10:58:32,429 com.rds.algorithms.Algorithm - New average value: 0.035353899999999994
[INFO ] 2021-04-05 10:58:32,429 com.rds.algorithms.Algorithm - RSI: 11.104796544667295. MACD: 2.596803168301896E-4. Average: 0.03559309400000001
[INFO ] 2021-04-05 10:58:32,429 com.rds.algorithms.Algorithm - New average value: 0.03542255
[INFO ] 2021-04-05 10:58:32,429 com.rds.algorithms.Algorithm - RSI: 23.198420533069267. MACD: 2.4606172749329797E-4. Average: 0.03558653461538463
[INFO ] 2021-04-05 10:58:32,429 com.rds.algorithms.Algorithm - New average value: 0.035533850000000006
[INFO ] 2021-04-05 10:58:32,429 com.rds.algorithms.Algorithm - RSI: 37.57904245709094. MACD: 2.1768817829642827E-4. Average: 0.03558458333333334
[INFO ] 2021-04-05 10:58:32,429 com.rds.algorithms.Algorithm - New average value: 0.03569935
[INFO ] 2021-04-05 10:58:32,429 com.rds.algorithms.Algorithm - RSI: 48.387315814490215. MACD: 1.7606107810750373E-4. Average: 0.03558868214285715
[INFO ] 2021-04-05 10:58:32,430 com.rds.algorithms.Algorithm - New average value: 0.03565705
[INFO ] 2021-04-05 10:58:32,430 com.rds.algorithms.Algorithm - RSI: 44.99218546496502. MACD: 1.3463129735461754E-4. Average: 0.03559103965517242
[INFO ] 2021-04-05 10:58:32,430 com.rds.algorithms.Algorithm - New average value: 0.0355383
[INFO ] 2021-04-05 10:58:32,430 com.rds.algorithms.Algorithm - RSI: 39.65903220251444. MACD: 1.0191988306961828E-4. Average: 0.035589281666666674
[INFO ] 2021-04-05 10:58:32,430 com.rds.algorithms.Algorithm - New average value: 0.035476400000000005
[INFO ] 2021-04-05 10:58:32,430 com.rds.algorithms.Algorithm - RSI: 37.54279193609776. MACD: 6.346850239328389E-5. Average: 0.03558564032258066
[INFO ] 2021-04-05 10:58:32,430 com.rds.algorithms.Algorithm - New average value: 0.03542835000000001
[INFO ] 2021-04-05 10:58:32,430 com.rds.algorithms.Algorithm - RSI: 36.70704494740295. MACD: 1.1438476105926393E-5. Average: 0.035580725000000014
[INFO ] 2021-04-05 10:58:32,430 com.rds.algorithms.Algorithm - New average value: 0.03540475
[INFO ] 2021-04-05 10:58:32,430 com.rds.algorithms.Algorithm - RSI: 41.82963007810099. MACD: -4.4222580841384224E-5. Average: 0.035575392424242444
[INFO ] 2021-04-05 10:58:32,430 com.rds.algorithms.Algorithm - New average value: 0.0354457
[INFO ] 2021-04-05 10:58:32,430 com.rds.algorithms.Algorithm - RSI: 56.74008810572709. MACD: -9.055667045501073E-5. Average: 0.035571577941176484
[INFO ] 2021-04-05 10:58:32,430 com.rds.algorithms.Algorithm - New average value: 0.0354456
[INFO ] 2021-04-05 10:58:32,430 com.rds.algorithms.Algorithm - RSI: 51.88178626826712. MACD: -1.7123785270693878E-4. Average: 0.035567978571428585
[INFO ] 2021-04-05 10:58:32,430 com.rds.algorithms.Algorithm - New average value: 0.03531015
[INFO ] 2021-04-05 10:58:32,431 com.rds.algorithms.Algorithm - RSI: 32.43009739239619. MACD: -2.8830128585480676E-4. Average: 0.03556081666666668
[INFO ] 2021-04-05 10:58:32,431 com.rds.algorithms.Algorithm - New average value: 0.035232799999999995
[INFO ] 2021-04-05 10:58:32,431 com.rds.algorithms.Algorithm - RSI: 7.466496490108128. MACD: -3.487559544055693E-4. Average: 0.03555195135135136
[INFO ] 2021-04-05 10:58:32,431 com.rds.algorithms.Algorithm - New average value: 0.035273700000000005
[INFO ] 2021-04-05 10:58:32,431 com.rds.algorithms.Algorithm - RSI: 14.962069280688453. MACD: -3.5989881329009205E-4. Average: 0.035544628947368435
[INFO ] 2021-04-05 10:58:32,431 com.rds.algorithms.Algorithm - New average value: 0.03516715
[INFO ] 2021-04-05 10:58:32,431 com.rds.algorithms.Algorithm - RSI: 15.30335608114531. MACD: -3.299312230409091E-4. Average: 0.03553495000000001
[INFO ] 2021-04-05 10:58:32,431 com.rds.algorithms.Algorithm - New average value: 0.035190200000000005
[INFO ] 2021-04-05 10:58:32,431 com.rds.algorithms.Algorithm - RSI: 21.149193548388467. MACD: -3.1400550368272916E-4. Average: 0.03552633125000001
[INFO ] 2021-04-05 10:58:32,431 com.rds.algorithms.Algorithm - New average value: 0.035327899999999995
[INFO ] 2021-04-05 10:58:32,431 com.rds.algorithms.Algorithm - RSI: 41.42405873815315. MACD: -3.2470234868129164E-4. Average: 0.03552149146341464
[INFO ] 2021-04-05 10:58:32,431 com.rds.algorithms.Algorithm - New average value: 0.03544475
[INFO ] 2021-04-05 10:58:32,431 com.rds.algorithms.Algorithm - RSI: 52.945941964943124. MACD: -3.457054775144107E-4. Average: 0.03551966428571429
[INFO ] 2021-04-05 10:58:32,431 com.rds.algorithms.Algorithm - New average value: 0.03545875
[INFO ] 2021-04-05 10:58:32,431 com.rds.algorithms.Algorithm - RSI: 51.00084362297724. MACD: -3.543774946596614E-4. Average: 0.035518247674418614
[INFO ] 2021-04-05 10:58:32,431 com.rds.algorithms.Algorithm - New average value: 0.03535155000000001
[INFO ] 2021-04-05 10:58:32,431 com.rds.algorithms.Algorithm - RSI: 43.80475594493176. MACD: -3.368376434060781E-4. Average: 0.035514459090909105
[INFO ] 2021-04-05 10:58:32,432 com.rds.algorithms.Algorithm - New average value: 0.0352836
[INFO ] 2021-04-05 10:58:32,432 com.rds.algorithms.Algorithm - RSI: 48.08039910346326. MACD: -2.9772377631267285E-4. Average: 0.0355093288888889
[INFO ] 2021-04-05 10:58:32,432 com.rds.algorithms.Algorithm - New average value: 0.035334899999999995
[INFO ] 2021-04-05 10:58:32,432 com.rds.algorithms.Algorithm - RSI: 57.6709241172051. MACD: -2.681769110038893E-4. Average: 0.035505536956521755
[INFO ] 2021-04-05 10:58:32,432 com.rds.algorithms.Algorithm - New average value: 0.0353624
[INFO ] 2021-04-05 10:58:32,432 com.rds.algorithms.Algorithm - RSI: 56.80110412513394. MACD: -2.9612013752978506E-4. Average: 0.035502491489361715
[INFO ] 2021-04-05 10:58:32,432 com.rds.algorithms.Algorithm - New average value: 0.03538945
[INFO ] 2021-04-05 10:58:32,432 com.rds.algorithms.Algorithm - RSI: 69.41145651414617. MACD: -3.36448083038534E-4. Average: 0.035500136458333345
[INFO ] 2021-04-05 10:58:32,432 com.rds.algorithms.Algorithm - New average value: 0.03541415
[INFO ] 2021-04-05 10:58:32,432 com.rds.algorithms.Algorithm - RSI: 69.49934697431405. MACD: -3.235410979902692E-4. Average: 0.03549838163265307
[INFO ] 2021-04-05 10:58:32,432 com.rds.algorithms.Algorithm - New average value: 0.03535649999999999
[INFO ] 2021-04-05 10:58:32,432 com.rds.algorithms.Algorithm - RSI: 52.89356535815421. MACD: -3.0169153253151003E-4. Average: 0.03549554400000001
[INFO ] 2021-04-05 10:58:32,432 com.rds.algorithms.Algorithm - New average value: 0.0353
[INFO ] 2021-04-05 10:58:32,432 com.rds.algorithms.Algorithm - RSI: 33.31796703929939. MACD: -2.694158990240922E-4. Average: 0.035491709803921585
[INFO ] 2021-04-05 10:58:32,432 com.rds.algorithms.Algorithm - New average value: 0.0353894
[INFO ] 2021-04-05 10:58:32,432 com.rds.algorithms.Algorithm - RSI: 43.19096710849333. MACD: -2.0559033582683283E-4. Average: 0.03548974230769232
[INFO ] 2021-04-05 10:58:32,432 com.rds.algorithms.Algorithm - New average value: 0.0354358
[INFO ] 2021-04-05 10:58:32,432 com.rds.algorithms.Algorithm - RSI: 59.39346638421127. MACD: -1.4349580195660352E-4. Average: 0.035488724528301895
[INFO ] 2021-04-05 10:58:32,433 com.rds.algorithms.Algorithm - New average value: 0.035455799999999996
[INFO ] 2021-04-05 10:58:32,433 com.rds.algorithms.Algorithm - RSI: 71.49812734082374. MACD: -8.790619794745683E-5. Average: 0.03548811481481483
[INFO ] 2021-04-05 10:58:32,433 com.rds.algorithms.Algorithm - New average value: 0.03542785
[INFO ] 2021-04-05 10:58:32,433 com.rds.algorithms.Algorithm - RSI: 62.32268328251378. MACD: -4.6933093390419536E-5. Average: 0.0354870190909091
[INFO ] 2021-04-05 10:58:32,433 com.rds.algorithms.Algorithm - New average value: 0.03544265
[INFO ] 2021-04-05 10:58:32,433 com.rds.algorithms.Algorithm - RSI: 61.00974070517191. MACD: -9.739104758103948E-6. Average: 0.035486226785714295
[INFO ] 2021-04-05 10:58:32,433 com.rds.algorithms.Algorithm - New average value: 0.0354638
[INFO ] 2021-04-05 10:58:32,433 com.rds.algorithms.Algorithm - RSI: 60.36814949100481. MACD: 4.032216564662323E-5. Average: 0.03548583333333335
[INFO ] 2021-04-05 10:58:32,433 com.rds.algorithms.Algorithm - New average value: 0.0354914
[INFO ] 2021-04-05 10:58:32,433 com.rds.algorithms.Algorithm - RSI: 60.68612532853798. MACD: 9.050339166525223E-5. Average: 0.03548592931034484
[INFO ] 2021-04-05 10:58:32,433 com.rds.algorithms.Algorithm - New average value: 0.035444199999999995
[INFO ] 2021-04-05 10:58:32,433 com.rds.algorithms.Algorithm - RSI: 62.49287749287803. MACD: 1.3042177012451302E-4. Average: 0.03548522203389832
[INFO ] 2021-04-05 10:58:32,433 com.rds.algorithms.Algorithm - New average value: 0.0353451
[INFO ] 2021-04-05 10:58:32,433 com.rds.algorithms.Algorithm - RSI: 55.729166666666565. MACD: 1.5751760483121124E-4. Average: 0.03548288666666668
[INFO ] 2021-04-05 10:58:32,433 com.rds.algorithms.Algorithm - New average value: 0.03525625
[INFO ] 2021-04-05 10:58:32,433 com.rds.algorithms.Algorithm - RSI: 33.061951405673426. MACD: 1.709999125411356E-4. Average: 0.035479171311475426
[INFO ] 2021-04-05 10:58:32,433 com.rds.algorithms.Algorithm - New average value: 0.035247200000000006
[INFO ] 2021-04-05 10:58:32,434 com.rds.algorithms.Algorithm - RSI: 23.488895136350266. MACD: 1.7031916395685454E-4. Average: 0.035475429838709695
[INFO ] 2021-04-05 10:58:32,434 com.rds.algorithms.Algorithm - New average value: 0.035151749999999995
[INFO ] 2021-04-05 10:58:32,434 com.rds.algorithms.Algorithm - RSI: 14.739649773861004. MACD: 1.9374292039718967E-4. Average: 0.03547029206349208
[INFO ] 2021-04-05 10:58:32,434 com.rds.algorithms.Algorithm - New average value: 0.03539185
[INFO ] 2021-04-05 10:58:32,434 com.rds.algorithms.Algorithm - RSI: 47.20192756101402. MACD: 2.452474198023166E-4. Average: 0.03546906640625001
[INFO ] 2021-04-05 10:58:32,434 com.rds.algorithms.Algorithm - New average value: 0.03544125000000001
[INFO ] 2021-04-05 10:58:32,434 com.rds.algorithms.Algorithm - RSI: 49.896739932144. MACD: 2.829241605888457E-4. Average: 0.03546863846153847
[INFO ] 2021-04-05 10:58:32,434 com.rds.algorithms.Algorithm - New average value: 0.03532625
[INFO ] 2021-04-05 10:58:32,434 com.rds.algorithms.Algorithm - RSI: 41.08843537414999. MACD: 2.768473527410476E-4. Average: 0.03546648106060607
[INFO ] 2021-04-05 10:58:32,434 com.rds.algorithms.Algorithm - New average value: 0.035428299999999996
